,cont
11,blue
23,yellow
35,green
47,green
59,orange
71,red
83,yellow
95,blue
107,blue
119,yellow
131,green
143,orange
155,yellow
167,green
179,orange
191,yellow
203,green
215,green
227,blue
239,green
251,orange
263,green
275,green
287,orange
299,blue
311,orange
323,green
335,green
347,green
359,orange
371,green
383,yellow
395,orange
407,yellow
419,yellow
431,green
443,orange
455,orange
467,green
479,orange
491,green
503,green
515,green
527,yellow
539,yellow
551,green
563,green
575,yellow
587,green
599,yellow
611,orange
623,green
635,green
647,orange
659,orange
671,blue
683,yellow
695,yellow
707,blue
719,blue
731,blue
743,blue
755,yellow
767,blue
779,yellow
791,orange
803,blue
815,blue
827,green
839,blue
851,blue
863,blue
875,blue
887,green
899,green
911,green
923,green
935,green
947,blue
959,green
971,green
983,green
995,orange
1007,blue
1019,yellow
1031,green
1043,green
1055,blue
1067,green
1079,blue
1091,yellow
1103,red
1115,orange
1127,green
1139,green
1151,yellow
1163,blue
1175,blue
1187,orange
1199,orange
1211,orange
1223,blue
1235,yellow
1247,yellow
1259,orange
1271,green
1283,yellow
1295,green
1307,green
1319,blue
1331,green
1343,yellow
1355,green
1367,blue
1379,yellow
1391,yellow
1403,green
1415,green
1427,yellow
1439,blue
1451,green
1463,green
1475,yellow
1487,yellow
1499,blue
1511,blue
1523,green
1535,blue
1547,green
1559,orange
1571,green
1583,yellow
1595,green
1607,yellow
1619,orange
1631,orange
1643,orange
1655,blue
1667,blue
1679,blue
1691,green
1703,green
