"Territorial emissions in MtCO₂"
;EU27;World;China;India;Iran;Japan;"Russian Federation";"Saudi Arabia";"South Korea";"United States of America"
1960;2098.3901;9386.9337;798.7999;111.4502;37.3586;232.4996;882.9271;2.6744;12.5401;2897.138
1961;2197.6853;9417.4626;570.6302;120.5395;36.5088;282.7869;910.5424;3.5683;14.4487;2886.6961
1962;2352.5402;9750.0567;459.6181;132.7286;37.4284;292.8644;955.6668;6.25;17.2616;2993.7182
1963;2511.656;10271.5244;456.7794;142.6015;41.3049;324.8355;1024.9112;6.9388;21.0832;3126.294
1964;2642.1815;10828.8576;460.6371;139.6392;47.5191;358.8911;1090.0197;7.0412;22.1952;3264.1106
1965;2675.3347;11317.2329;500.2864;153.8678;53.7184;386.4712;1156.3117;4.2163;24.9783;3399.3419
1966;2756.0979;11865.8614;549.4593;159.5401;64.1034;419.2451;1221.123;6.4073;29.9822;3571.2086
1967;2817.7296;12243.0455;460.2259;159.7255;67.8809;489.3074;1276.867;25.4855;35.1132;3705.2542
1968;2990.8977;12909.9125;495.5066;174.2457;82.3296;561.9126;1312.7495;29.0791;37.1971;3840.7022
1969;3189.6158;13766.5707;607.6834;177.5891;83.0387;653.2154;1367.1411;35.271;42.4682;4034.9257
1970;3329.2462;14897.5671;807.9526;181.8987;91.7875;767.9631;1437.8706;45.2513;53.7164;4339.4711
1971;3417.9298;15498.2667;909.2097;192.1446;101.6278;796.5443;1525.8739;59.7567;58.5337;4365.2467
1972;3547.8845;16221.1523;968.6456;203.2274;106.0152;852.1702;1605.4109;70.2817;60.2471;4572.7906
1973;3721.2039;17078.7921;1008.2926;209.2914;129.4753;914.2652;1673.2092;95.0536;72.9746;4784.8228
1974;3701.5132;17009.5944;1028.0999;216.0607;143.7754;914.3062;1736.921;98.7019;75.5505;4620.8203
1975;3628.1092;17046.4972;1183.215;234.439;139.214;868.5108;1825.7549;83.2609;81.6658;4478.0385
1976;3904.2942;17983.9728;1226.4213;244.99;156.4591;907.1445;1896.0727;101.4596;93.1046;4747.5632
1977;3865.4272;18494.5308;1340.8311;259.2146;163.7319;933.2377;1960.5651;118.0705;105.4597;4889.3982
1978;3995.7806;19067.7672;1492.7778;263.3984;162.1039;901.5901;2027.8938;115.0246;113.1193;4941.1425
1979;4105.6753;19610.0177;1525.6611;276.5421;162.9825;953.0713;2044.7133;138.0047;132.8742;5008.3586
1980;4069.6161;19492.6135;1494.4959;291.9922;120.4939;944.8686;2125.1652;169.2404;134.5244;4808.2958
1981;3855.1063;19026.9102;1476.4879;315.2658;112.9958;926.8355;2084.6978;175.3045;139.6126;4686.1715
1982;3763.5987;18875.7603;1606.585;325.6836;137.771;897.4078;2124.0023;157.8933;140.8065;4447.0799
1983;3720.6131;18998.0316;1694.2168;352.5301;149.5849;880.9094;2154.129;160.837;149.165;4429.1867
1984;3755.5865;19656.7169;1844.828;361.8892;149.8636;937.0699;2173.2593;155.5124;160.7349;4661.9209
1985;3812.6526;20317.4835;1998.0829;397.953;159.8567;912.4008;2343.7963;172.4212;168.7921;4652.3829
1986;3796.5297;20619.6237;2104.2134;426.6986;147.6034;912.2599;2344.1238;204.6038;176.3368;4663.1655
1987;3830.3218;21266.1945;2257.7385;455.7588;158.5626;902.5303;2355.4755;190.4469;185.399;4825.4447
1988;3787.5599;22101.3995;2425.8936;492.144;175.1427;985.4643;2430.9474;202.2519;210.9995;5050.2678
1989;3825.5948;22406.8325;2463.6544;541.1349;190.1978;1021.6817;2400.3084;203.4239;223.5646;5131.9266
1990;3863.4105;22749.5744;2484.8548;578.5182;209.9437;1158.0074;2525.518;208.497;250.4691;5113.4547
1991;3799.8874;23238.1021;2606.0962;615.9249;226.0109;1169.6919;2396.205;288.5455;275.6565;5057.9309
1992;3672.3467;22569.6243;2730.7876;656.0331;226.9349;1179.3961;1957.8861;316.1747;300.0329;5167.4808
1993;3603.9042;22803.4953;2921.651;677.9163;235.6069;1172.3395;1859.6794;340.6424;330.2717;5267.3431
1994;3585.9576;22964.5834;3100.002;716.9176;263.8203;1227.273;1641.6161;328.139;355.8364;5358.824
1995;3635.3449;23453.9445;3357.9089;762.1206;271.582;1239.6198;1613.1411;262.4211;383.696;5421.5025
1996;3720.5613;24154.9612;3503.2337;825.9189;273.7689;1251.5309;1580.3757;258.2748;421.0945;5610.5816
1997;3654.8178;24300.5504;3510.1693;859.6862;267.0457;1244.7812;1475.3602;215.8075;445.1882;5686.465
1998;3645.8882;24206.2713;3360.4554;877.6981;305.5035;1204.9935;1458.3678;207.2401;378.4443;5731.0496
1999;3589.8732;24518.9623;3350.3401;951.7487;379.5014;1241.6115;1486.3005;225.9855;410.9956;5804.6689
2000;3601.2488;25234.2073;3439.1522;978.9192;369.1496;1264.3746;1471.2595;296.3638;440.5307;6010.5084
2001;3658.6456;25451.0545;3514.9338;992.5601;394.7594;1249.7663;1507.7066;296.5881;456.2454;5904.8816
2002;3659.4556;26039.1915;3872.5953;1023.0272;397.6248;1279.1201;1495.6936;325.6979;476.7893;5946.7706
2003;3743.6194;27366.7233;4545.0139;1059.6162;413.6646;1287.4677;1525.607;326.5171;485.9548;6011.8375
2004;3754.7933;28627.533;5223.7547;1125.4713;441.9466;1282.8616;1530.6943;394.5849;492.2492;6114.0069
2005;3735.1049;29602.7772;5876.5553;1185.9534;463.4994;1290.3711;1547.5991;395.8548;499.5644;6134.5215
2006;3744.7672;30583.5301;6488.8038;1259.7443;503.6362;1267.3619;1606.5419;431.292;504.5057;6051.668
2007;3702.618;31493.7416;6978.612;1358.1522;512.6595;1303.1342;1604.5494;386.5071;522.9063;6131.0042
2008;3616.9416;32069.444;7496.8322;1462.8146;534.6441;1232.3137;1636.9231;432.3364;534.0249;5914.0778
2009;3324.5201;31607.0424;7886.5328;1612.8166;559.0249;1163.2129;1528.9611;465.8443;539.23;5478.2097
2010;3425.8127;33343.3005;8616.6527;1677.8876;569.772;1214.8162;1613.113;517.7159;595.5899;5675.7864
2011;3326.2787;34468.451;9528.5557;1780.13;577.3363;1264.8661;1665.2068;497.659;624.5503;5540.1735
2012;3252.4899;34974.0751;9775.6218;1963.586;602.7383;1306.0098;1680.1044;563.1795;628.9359;5338.6983
2013;3171.5537;35283.0254;9952.7438;2036.9371;610.21;1315.3427;1619.4197;540.8052;635.7915;5474.2568
2014;3035.9483;35534.443;9985.5834;2185.8559;641.8421;1263.7288;1622.5886;609.2056;630.5946;5522.8072
2015;3088.8823;35496.4063;9848.4197;2268.5675;628.6262;1223.3964;1623.0998;674.8782;635.2136;5371.7706
2016;3095.7043;35452.4593;9720.4441;2382.2232;637.3615;1203.7179;1618.5989;639.0565;639.2586;5248.0239
2017;3120.0285;35925.7377;9920.4592;2433.8558;712.2561;1188.1228;1646.457;639.378;655.7471;5207.7513
2018;3046.0886;36646.1398;10289.9895;2599.8057;707.1574;1143.4579;1691.6467;621.9527;671.6307;5375.4906
2019;2909.7107;36702.5029;10489.9886;2625.9681;733.3658;1105.9293;1679.4493;622.4127;648.0246;5255.8162
2020;2598.5753;34807.2591;10667.8875;2441.7923;745.0351;1030.7754;1577.136;625.5079;597.6051;4712.7706

Sources
Territorial;"Cite as: Friedlingstein et al. (2021), Andrew and Peters (2021).

Friedlingstein et al., 2021 : The Global Carbon Budget 2021, Earth System Science Data. Available at: <a href=""https://doi.org/10.5194/essd-2021-386"" target=""_blank"">https://doi.org/10.5194/essd-2021-386</a>

Andrew and Peters, 2021 : The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. Available at: <a href="" https://doi.org/10.6084/m9.figshare.16729084.v1"" target=""_blank""> Andrew and Peters, 2021.</a>

The use of data is conditional on citing the original data sources. 

Data for years 2019 and 2020 are preliminary."
