carat,cut,color,clarity,depth,table,price,x,y,z,date_sold
1.68,Very Good,3,VS2,61.1,60,"$15,309",7.63,7.7,4.68,30/03/09
0.38,Ideal,6,SI1,61.8,54,$593,4.66,4.7,2.89,10/05/07
1.2,Fair,4,,64.4,55,"$2,655",6.77,6.61,4.31,12/01/03
0.32,Premium,2,SI1,62.3,58,$720,4.4,4.37,2.73,31/05/07
0.5,Very Good,1,VS2,61.1,58,"$1,646",5.07,5.11,3.11,18/08/03
0.32,Premium,3,VVS1,61.3,58,$926,4.37,4.4,2.69,22/07/16
0.51,Ideal,5,VVS2,61.2,57,"$1,669",5.14,5.19,3.16,28/09/06
1.21,Very Good,2,SI1,61,60,"$5,885",6.83,6.88,4.18,29/05/05
1.18,Ideal,1,SI1,61.9,55,"$7,087",6.76,6.8,4.2,08/06/17
0.73,Ideal,2,SI2,59.9,57,"$2,059",5.87,5.82,3.5,17/08/01
1.53,Premium,5,VS2,59.9,60,"$10,827",7.5,7.46,4.48,20/06/07
0.35,Premium,1,SI2,60.8,58,$669,4.57,4.51,2.76,16/05/11
1.02,Ideal,3,VVS2,61.9,57,"$9,212",6.53,6.42,4.01,07/06/13
0.35,Ideal,1,SI2,62.4,57,$625,4.5,4.47,2.8,18/08/00
0.41,Very Good,4,VVS2,59.1,60,$889,4.84,4.87,2.87,15/07/03
0.33,Ideal,3,IF,60.8,55,"$1,240",4.49,4.53,2.74,20/09/03
0.9,Fair,2,SI2,64.5,55,"$3,084",6.12,6.03,3.92,03/07/03
2.01,Premium,6,SI2,59.2,60,"$13,574",8.31,8.27,4.91,31/01/14
0.91,Fair,4,VS2,64.9,54,"$4,860",6.04,6.08,3.93,02/11/09
1.23,Ideal,2,VVS2,59.9,57,"$13,034",6.95,7.03,4.19,12/11/02
0.5,Good,2,VS2,64.1,58,"$1,299",5.01,5.03,3.22,16/05/06
0.51,Fair,2,SI1,64.8,58,"$1,237",5.07,5.02,3.27,02/12/09
1.52,Very Good,1,VS2,63.4,59,"$14,680",7.32,7.24,4.61,03/10/09
0.31,Ideal,4,SI1,61.7,54,$446,4.38,4.4,2.71,20/08/18
0.93,Ideal,3,SI2,62,57,"$3,266",6.31,NaN,3.9,19/09/03
1.04,Good,7,VS2,58.2,64,"$3,285",6.64,6.53,3.85,09/04/07
1.01,Premium,1,SI1,60.7,58,"$5,599",6.42,6.49,3.92,07/08/18
0.23,Very Good,2,VVS1,60.9,58,$530,3.95,3.96,2.41,12/10/03
1.55,Good,5,VS2,61,61,"$11,364",7.42,7.47,4.54,25/06/11
1.01,Premium,5,VS2,60.6,60,"$5,260",6.51,6.49,3.94,03/10/11
0.44,Premium,4,VS1,62.3,59,"$1,031",4.87,4.82,3.02,13/09/03
1,Good,4,SI1,61.6,62,"$4,528",6.37,6.45,3.95,19/01/02
0.71,Very Good,3,VS2,59.6,56,"$2,994",5.84,5.88,3.49,16/07/12
0.5,Premium,3,VS2,61.3,60,"$1,654",5.13,5.08,3.13,11/01/04
0.71,Fair,3,IF,58.7,62,"$3,205",5.87,5.81,3.43,24/05/99
0.32,Ideal,7,IF,62.2,55,$533,4.4,4.44,2.75,17/09/11
0.32,Good,4,VS2,56.7,64,$603,4.52,4.55,2.57,19/08/13
0.5,Very Good,4,SI1,62.9,59,"$1,187",5.04,5.07,3.18,07/05/17
0.71,Ideal,2,VS2,62.1,57,"$3,191",5.71,5.75,3.56,22/07/00
0.35,Very Good,3,VS2,61.1,62,$706,4.5,4.54,2.76,24/09/04
0.9,Very Good,5,SI2,59.5,63,"$3,105",6.31,6.26,3.74,26/05/11
0.32,Premium,4,VS2,62.6,59,$720,4.36,4.33,2.72,08/01/16
0.74,Premium,4,SI2,63,56,"$2,398",5.77,5.75,3.63,29/08/02
1.51,Ideal,5,VS2,62.4,56,"$12,219",7.33,7.28,4.56,19/10/09
1.53,Ideal,6,SI1,61.9,54,"$8,971",7.43,7.5,1.53,10/03/18
0.41,Ideal,1,VVS2,62.3,55,"$1,295",4.76,4.77,2.97,25/08/98
0.73,Ideal,2,VS1,62.8,57,"$3,327",5.75,5.78,3.62,11/07/04
0.4,Very Good,4,VVS2,62.5,60,$982,4.65,4.7,2.92,17/07/07
2.23,Premium,7,VS2,61,58,"$14,867",8.39,8.36,5.11,06/03/15
0.28,Very Good,2,VVS1,62.1,57,$707,4.17,4.21,2.6,22/10/12
0.5,Very Good,4,SI1,62.1,56,"$1,197",5.05,5.09,3.15,10/03/17
0.52,Ideal,5,IF,61.4,56,"$2,441",5.19,5.23,3.2,11/04/09
1.1,Very Good,1,SI2,61.1,58,"$5,320",6.61,6.69,4.06,12/06/15
0.56,Ideal,4,SI2,61.9,54,"$1,173",5.29,5.34,3.29,16/02/12
1.01,Good,5,SI1,57.1,58,"$4,488",6.6,6.64,3.78,02/11/16
1.5,Very Good,6,VS2,60.8,58,"$9,804",7.36,7.42,4.49,28/05/19
0.7,Ideal,2,SI1,61.6,57,"$2,846",5.71,5.76,3.53,15/03/13
0.4,Premium,1,SI2,60,58,$666,4.8,4.84,2.89,19/06/19
2.01,Premium,6,SI1,61.5,60,"$16,499",8.12,8.01,4.96,16/08/03
1.01,Very Good,2,VS2,62.9,58,"$6,666",6.36,6.39,4.01,17/03/12
0.53,Ideal,4,SI1,61.8,58,"$1,255",5.16,5.19,3.2,20/10/18
0.41,Very Good,1,SI1,63,59,$838,4.73,4.76,2.99,12/11/17
0.4,Ideal,7,VS2,62.3,55,$598,4.72,4.75,2.95,07/01/02
1.4,Very Good,1,SI2,61.8,54,"$8,268",7.16,7.21,4.44,06/07/08
1.28,Very Good,4,VVS2,59.5,56,"$11,478",7.12,7.16,4.25,20/03/09
0.81,Good,1,SI1,64.1,54,"$3,324",5.92,5.96,3.81,21/09/14
0.92,Good,7,SI2,59,63,"$3,070",6.3,6.35,3.73,10/06/02
0.33,Ideal,2,VS1,62.6,57,$781,4.4,4.42,2.76,11/01/07
0.76,Ideal,4,SI2,62.7,56,"$2,466",5.81,5.86,3.66,02/02/01
2.02,Premium,2,SI2,60.4,57,"$14,574",8.21,8.18,4.95,28/03/12
0.38,Ideal,3,IF,61.5,56,"$1,212",4.67,4.7,2.88,01/03/06
1.5,Good,2,SI2,63.9,58,"$8,910",7.21,7.26,4.62,29/07/16
1.48,Premium,5,SI2,59.7,NaN,"$6,216",7.46,7.42,4.44,27/11/15
0.5,Premium,5,VVS1,62.5,58,"$1,710",5.05,5.1,3.17,28/03/19
1.52,Ideal,6,SI1,61.2,55.4,"$9,067",7.38,7.45,4.54,04/10/04
